,Area,Element,Value,Unit,Value Extended
45,Afghanistan,Import Quantity,3892.0,1000 Head,3892000.0
46,Afghanistan,Import Value,3350.0,1000 US$,3350000.0
47,Afghanistan,Export Quantity,0.0,1000 Head,0.0
48,Afghanistan,Export Value,0.0,1000 US$,0.0
49,Afghanistan,Import Quantity,4720.0,1000 Head,4720000.0
50,Afghanistan,Import Value,6361.0,1000 US$,6361000.0
51,Afghanistan,Export Quantity,0.0,1000 Head,0.0
52,Afghanistan,Export Value,0.0,1000 US$,0.0
53,Afghanistan,Import Quantity,1094.0,1000 Head,1094000.0
54,Afghanistan,Import Value,1277.0,1000 US$,1277000.0
55,Afghanistan,Export Quantity,0.0,1000 Head,0.0
56,Afghanistan,Export Value,0.0,1000 US$,0.0
57,Afghanistan,Import Quantity,2874.0,1000 Head,2874000.0
58,Afghanistan,Import Value,3415.0,1000 US$,3415000.0
59,Afghanistan,Export Quantity,0.0,1000 Head,0.0
60,Afghanistan,Export Value,0.0,1000 US$,0.0
61,Afghanistan,Import Quantity,10700.0,1000 Head,10700000.0
62,Afghanistan,Import Value,5748.0,1000 US$,5748000.0
63,Afghanistan,Import Quantity,2111.0,1000 Head,2111000.0
64,Afghanistan,Import Value,2330.0,1000 US$,2330000.0
65,Afghanistan,Export Quantity,8.0,1000 Head,8000.0
66,Afghanistan,Export Value,4.0,1000 US$,4000.0
67,Afghanistan,Import Quantity,15004.0,1000 Head,15004000.0
68,Afghanistan,Import Value,7944.0,1000 US$,7944000.0
69,Afghanistan,Import Quantity,17064.0,1000 Head,17064000.0
70,Afghanistan,Import Value,8204.0,1000 US$,8204000.0
184,Albania,Import Quantity,7738.0,1000 Head,7738000.0
185,Albania,Import Value,5288.0,1000 US$,5288000.0
186,Albania,Export Quantity,0.0,1000 Head,0.0
187,Albania,Export Value,0.0,1000 US$,0.0
188,Albania,Import Quantity,6901.0,1000 Head,6901000.0
189,Albania,Import Value,4420.0,1000 US$,4420000.0
190,Albania,Export Quantity,0.0,1000 Head,0.0
191,Albania,Export Value,0.0,1000 US$,0.0
192,Albania,Import Quantity,6856.0,1000 Head,6856000.0
193,Albania,Import Value,4432.0,1000 US$,4432000.0
194,Albania,Export Quantity,6.0,1000 Head,6000.0
195,Albania,Export Value,2.0,1000 US$,2000.0
196,Albania,Import Quantity,6443.0,1000 Head,6443000.0
197,Albania,Import Value,5821.0,1000 US$,5821000.0
198,Albania,Export Quantity,0.0,1000 Head,0.0
199,Albania,Export Value,0.0,1000 US$,0.0
200,Albania,Import Quantity,6172.0,1000 Head,6172000.0
201,Albania,Import Value,6341.0,1000 US$,6341000.0
202,Albania,Import Quantity,6166.0,1000 Head,6166000.0
203,Albania,Import Value,4811.0,1000 US$,4811000.0
204,Albania,Import Quantity,6636.0,1000 Head,6636000.0
205,Albania,Import Value,5093.0,1000 US$,5093000.0
206,Albania,Export Quantity,115.0,1000 Head,115000.0
207,Albania,Export Value,88.0,1000 US$,88000.0
208,Albania,Import Quantity,5860.0,1000 Head,5860000.0
209,Albania,Import Value,4138.0,1000 US$,4138000.0
406,Algeria,Import Quantity,2360.0,1000 Head,2360000.0
407,Algeria,Import Value,8774.0,1000 US$,8774000.0
408,Algeria,Export Quantity,0.0,1000 Head,0.0
409,Algeria,Export Value,0.0,1000 US$,0.0
410,Algeria,Import Quantity,4211.0,1000 Head,4211000.0
411,Algeria,Import Value,17108.0,1000 US$,17108000.0
412,Algeria,Export Quantity,0.0,1000 Head,0.0
413,Algeria,Export Value,0.0,1000 US$,0.0
414,Algeria,Import Quantity,6104.0,1000 Head,6104000.0
415,Algeria,Import Value,19825.0,1000 US$,19825000.0
416,Algeria,Export Quantity,0.0,1000 Head,0.0
417,Algeria,Export Value,0.0,1000 US$,0.0
418,Algeria,Import Quantity,5699.0,1000 Head,5699000.0
419,Algeria,Import Value,22905.0,1000 US$,22905000.0
420,Algeria,Export Quantity,0.0,1000 Head,0.0
421,Algeria,Export Value,0.0,1000 US$,0.0
422,Algeria,Import Quantity,4315.0,1000 Head,4315000.0
423,Algeria,Import Value,20163.0,1000 US$,20163000.0
424,Algeria,Import Quantity,5255.0,1000 Head,5255000.0
425,Algeria,Import Value,19807.0,1000 US$,19807000.0
426,Algeria,Import Quantity,6433.0,1000 Head,6433000.0
427,Algeria,Import Value,23609.0,1000 US$,23609000.0
428,Algeria,Import Quantity,4790.0,1000 Head,4790000.0
429,Algeria,Import Value,19051.0,1000 US$,19051000.0
582,American Samoa,Import Quantity,0.0,1000 Head,0.0
583,American Samoa,Import Value,0.0,1000 US$,0.0
584,American Samoa,Import Quantity,0.0,1000 Head,0.0
585,American Samoa,Import Value,0.0,1000 US$,0.0
586,American Samoa,Import Quantity,0.0,1000 Head,0.0
587,American Samoa,Import Value,0.0,1000 US$,0.0
588,American Samoa,Import Quantity,0.0,1000 Head,0.0
589,American Samoa,Import Value,0.0,1000 US$,0.0
647,Angola,Import Quantity,130.0,1000 Head,130000.0
648,Angola,Import Value,264.0,1000 US$,264000.0
649,Angola,Export Quantity,0.0,1000 Head,0.0
650,Angola,Export Value,0.0,1000 US$,0.0
651,Angola,Import Quantity,265.0,1000 Head,265000.0
652,Angola,Import Value,325.0,1000 US$,325000.0
653,Angola,Export Quantity,0.0,1000 Head,0.0
654,Angola,Export Value,0.0,1000 US$,0.0
655,Angola,Import Quantity,585.0,1000 Head,585000.0
656,Angola,Import Value,539.0,1000 US$,539000.0
657,Angola,Export Quantity,0.0,1000 Head,0.0
658,Angola,Export Value,0.0,1000 US$,0.0
659,Angola,Import Quantity,702.0,1000 Head,702000.0
660,Angola,Import Value,688.0,1000 US$,688000.0
661,Angola,Export Quantity,0.0,1000 Head,0.0
662,Angola,Export Value,0.0,1000 US$,0.0
663,Angola,Import Quantity,800.0,1000 Head,800000.0
664,Angola,Import Value,845.0,1000 US$,845000.0
665,Angola,Import Quantity,1363.0,1000 Head,1363000.0
666,Angola,Import Value,1291.0,1000 US$,1291000.0
667,Angola,Import Quantity,1390.0,1000 Head,1390000.0
668,Angola,Import Value,1279.0,1000 US$,1279000.0
669,Angola,Import Quantity,1649.0,1000 Head,1649000.0
670,Angola,Import Value,1814.0,1000 US$,1814000.0
791,Antigua and Barbuda,Import Quantity,60.0,1000 Head,60000.0
792,Antigua and Barbuda,Import Value,77.0,1000 US$,77000.0
793,Antigua and Barbuda,Export Quantity,0.0,1000 Head,0.0
794,Antigua and Barbuda,Export Value,0.0,1000 US$,0.0
795,Antigua and Barbuda,Import Quantity,23.0,1000 Head,23000.0
796,Antigua and Barbuda,Import Value,18.0,1000 US$,18000.0
797,Antigua and Barbuda,Export Quantity,2.0,1000 Head,2000.0
798,Antigua and Barbuda,Export Value,2.0,1000 US$,2000.0
799,Antigua and Barbuda,Import Quantity,68.0,1000 Head,68000.0
800,Antigua and Barbuda,Import Value,67.0,1000 US$,67000.0
801,Antigua and Barbuda,Export Quantity,1.0,1000 Head,1000.0
802,Antigua and Barbuda,Export Value,2.0,1000 US$,2000.0
803,Antigua and Barbuda,Import Quantity,23.0,1000 Head,23000.0
804,Antigua and Barbuda,Import Value,36.0,1000 US$,36000.0
805,Antigua and Barbuda,Export Quantity,3.0,1000 Head,3000.0
806,Antigua and Barbuda,Export Value,3.0,1000 US$,3000.0
807,Antigua and Barbuda,Import Quantity,15.0,1000 Head,15000.0
808,Antigua and Barbuda,Import Value,23.0,1000 US$,23000.0
809,Antigua and Barbuda,Export Quantity,0.0,1000 Head,0.0
810,Antigua and Barbuda,Export Value,0.0,1000 US$,0.0
811,Antigua and Barbuda,Import Quantity,2.0,1000 Head,2000.0
812,Antigua and Barbuda,Import Value,57.0,1000 US$,57000.0
813,Antigua and Barbuda,Export Quantity,0.0,1000 Head,0.0
814,Antigua and Barbuda,Export Value,2.0,1000 US$,2000.0
815,Antigua and Barbuda,Import Quantity,1.0,1000 Head,1000.0
816,Antigua and Barbuda,Import Value,24.0,1000 US$,24000.0
817,Antigua and Barbuda,Export Quantity,2.0,1000 Head,2000.0
818,Antigua and Barbuda,Export Value,6.0,1000 US$,6000.0
819,Antigua and Barbuda,Import Quantity,10.0,1000 Head,10000.0
820,Antigua and Barbuda,Import Value,35.0,1000 US$,35000.0
821,Antigua and Barbuda,Export Quantity,2.0,1000 Head,2000.0
822,Antigua and Barbuda,Export Value,6.0,1000 US$,6000.0
1055,Argentina,Import Quantity,582.0,1000 Head,582000.0
1056,Argentina,Import Value,8214.0,1000 US$,8214000.0
1057,Argentina,Export Quantity,340.0,1000 Head,340000.0
1058,Argentina,Export Value,1126.0,1000 US$,1126000.0
1059,Argentina,Import Quantity,607.0,1000 Head,607000.0
1060,Argentina,Import Value,9263.0,1000 US$,9263000.0
1061,Argentina,Export Quantity,283.0,1000 Head,283000.0
1062,Argentina,Export Value,1179.0,1000 US$,1179000.0
1063,Argentina,Import Quantity,594.0,1000 Head,594000.0
1064,Argentina,Import Value,9532.0,1000 US$,9532000.0
1065,Argentina,Export Quantity,243.0,1000 Head,243000.0
1066,Argentina,Export Value,1161.0,1000 US$,1161000.0
1067,Argentina,Import Quantity,625.0,1000 Head,625000.0
1068,Argentina,Import Value,10923.0,1000 US$,10923000.0
1069,Argentina,Export Quantity,289.0,1000 Head,289000.0
1070,Argentina,Export Value,1190.0,1000 US$,1190000.0
1071,Argentina,Import Quantity,612.0,1000 Head,612000.0
1072,Argentina,Import Value,11147.0,1000 US$,11147000.0
1073,Argentina,Export Quantity,196.0,1000 Head,196000.0
1074,Argentina,Export Value,1144.0,1000 US$,1144000.0
1075,Argentina,Import Quantity,577.0,1000 Head,577000.0
1076,Argentina,Import Value,11136.0,1000 US$,11136000.0
1077,Argentina,Export Quantity,181.0,1000 Head,181000.0
1078,Argentina,Export Value,1059.0,1000 US$,1059000.0
