Country,Count,Rate,Year
United States of America,88604714,2070.255290530901,2016
Germany,23524591,2063.7320222558533,2016
United Kingdom (England and Wales),21816558,2824.3150029624762,2016
Russian Federation,15203337,815.2457192416446,2016
France,15137111,1716.1585351960027,2016
Italy,14452204,1876.3587435501654,2015
Brazil,13570988,869.1202428537944,2013
Netherlands,8547232,3684.8954120636176,2016
Japan,8401344,503.4847237634568,2016
Canada,8006092,1696.2919148616763,2016
Australia,7404737,2426.594329382591,2016
Sweden,5547321,4237.198073580977,2016
Republic of Korea,3260244,469.58845391676897,2016
India,3127650,25.90639541335413,2013
Poland,3023562,563.3641839759213,2016
Denmark,2952098,3796.3904131041418,2016
Belgium,2875216,2039.6701323948676,2015
Turkey,2223291,217.02203279830016,2016
Switzerland,2176398,1988.44412112902,2016
Chile,2172663,1060.8895104433934,2016
Mexico,2154766,138.1749107873085,2016
Austria,2092036,1909.9213700808623,2016
Argentina,1973821,684.376678774893,2016
Norway,1821761,2677.7665287528944,2016
Czech Republic,1804488,1235.5865778050133,2016
Hungary,1694452,1216.191285691127,2016
Finland,1668187,2225.8946509641896,2016
United Kingdom (Scotland),1582686,2167.057436642866,2016
Spain,1575522,339.14835728379643,2016
Ukraine,1473708,394.9359433280047,2010
Portugal,1319564,892.7024669713991,2016
Uruguay,1313708,2993.0753710778217,2016
Greece,1294657,815.5478414739666,2016
Kazakhstan,1261787,679.4989594779803,2015
Colombia,1102012,184.75258318378093,2016
New Zealand,1056820,2722.5163200447896,2013
Belarus,926686,808.4927428782116,2014
Ireland,920765,1461.067271696539,2016
Peru,916175,221.6419060219678,2016
Romania,897045,313.538582918101,2016
Morocco,761015,239.1006926513553,2015
Zimbabwe,759572,975.2576658362626,2008
Israel,709943,1475.880442901563,2011
Philippines,702000,51.95707533224163,2016
Bulgaria,601127,576.2487176347048,2016
Thailand,594902,73.91505497513049,2016
Algeria,503764,138.1754595533201,2015
Egypt,455436,62.65484250407409,2011
Slovenia,405100,1421.9578360889845,2016
Uganda,392720,105.77321960759838,2014
Hong Kong Special Administrative Region of China,391866,513.2791193337896,2013
Lithuania,365384,827.8499214921301,2016
United Kingdom (Northern Ireland),358255,1432.6249674674852,2016
Slovakia,355218,469.0710121298197,2016
Pakistan,317490,25.08934367444214,2016
Paraguay,311978,540.9848011592675,2016
Estonia,298092,1707.523760045013,2015
Latvia,294909,1057.6179223664587,2016
Croatia,274171,451.50813793441847,2016
Puerto Rico,256252,769.2940565532151,2016
Guatemala,242597,119.3767899971747,2016
Singapore,242046,350.97010278400114,2016
Serbia,236520,219.2796437349207,2016
Lebanon,234648,612.4601675166948,2015
Indonesia,228173,10.19389370717079,2016
Panama,226237,475.7908965679448,2016
Iran (Islamic Republic of),214585,154.99742848498454,2004
Cameroon,189038,79.43414450590195,2015
Ecuador,164911,88.4593468701495,2016
Costa Rica,164686,333.15804249260964,2013
Kyrgyzstan,153802,204.54770650132835,2016
Nigeria,152163,16.108769921764832,2013
Republic of Moldova,151897,308.0343749290692,2014
